won,round,one-team,two-team,seed,oneTotalTowersBuild,oneTotalProjectiles,oneTotalTowerUpgrades,oneTotalCreepDamage,oneTotalTowerDamage,oneTotalDamageFromCreeps,twoTotalTowersBuild,twoTotalProjectiles,twoTotalTowerUpgrades,twoTotalCreepDamage,twoTotalTowerDamage,twoTotalDamageFromCreeps,oneGuesses,twoGuesses
50,36,anthropic,openai,1,50,4799,119,21216,1721,2560,25,4950,164,22472,509,266
49,29,anthropic,openai,2,33,4067,84,21452,1954,7,11,2961,115,13128,337,1603
50,41,anthropic,openai,3,67,8476,156,36806,2747,2293,36,6067,172,24858,2996,24
50,18,anthropic,openai,4,19,806,35,3343,49,2317,3,859,51,4246,7,20
50,37,anthropic,openai,5,34,6484,162,29408,936,3868,13,4645,169,25433,2080,72
49,43,anthropic,openai,6,42,10986,215,50363,1433,1,33,8600,181,44903,3483,577
49,41,anthropic,openai,7,56,7516,182,34332,2460,0,39,5867,199,26408,2103,841
49,38,anthropic,openai,8,36,8201,164,42932,1669,0,28,5369,167,25945,2008,517
49,31,anthropic,openai,9,31,3385,96,16219,2326,1,7,2481,119,12518,1170,395
50,27,anthropic,openai,10,27,3900,81,17654,1009,1990,10,1933,97,9560,903,918
49,33,anthropic,openai,11,47,7079,99,36689,2872,0,16,3247,144,15271,1145,2316,0,0
49,42,anthropic,openai,12,49,9949,182,54151,3053,11,41,8240,205,40662,1583,2266,0,0
49,37,anthropic,openai,13,59,5837,132,27456,1837,1,36,4727,157,16924,1566,902,0,0
49,37,anthropic,openai,14,60,6770,125,32373,3270,0,22,5299,161,25290,1845,1018,18,0
49,45,anthropic,openai,15,54,10729,227,57755,1794,3,37,8616,222,40920,3173,1589,0,0
49,21,anthropic,openai,16,17,1872,54,8619,591,1,7,1481,64,7057,253,613,4,0
49,38,anthropic,openai,17,56,6591,132,24982,2528,1,32,5552,159,25562,2964,1462,18,0
49,50,anthropic,openai,18,115,11924,215,47937,4267,99,44,10642,291,53939,4095,1813,16,0
49,36,anthropic,openai,19,64,4887,112,22185,2184,532,21,4753,151,22155,1238,1738,16,0
49,32,anthropic,openai,20,42,6287,101,31564,1398,18,17,2741,124,13917,1181,2545,0,0
49,34,anthropic,openai,21,23,6287,145,34444,1105,0,20,3519,150,16695,900,3922,14,0
49,33,anthropic,openai,22,31,4561,130,24772,286,2437,17,3451,144,17741,430,2722,0,0
49,30,anthropic,openai,23,50,4651,82,21551,1191,1,14,2504,110,11623,1949,1384,0,0
49,41,anthropic,openai,24,65,7082,161,27903,3932,3,49,6981,174,30470,4986,370,8,0
49,49,anthropic,openai,25,79,12014,225,53152,4050,1256,32,12324,281,58778,2498,1500,0,0
49,44,anthropic,openai,26,58,11260,201,55776,2874,1,46,8730,205,36447,2897,3366,0,0
49,53,anthropic,openai,27,75,14864,312,74514,1885,19,33,12356,339,60631,1713,1484,8,0
49,34,anthropic,openai,28,38,4385,130,21636,1063,1,9,5345,116,29686,2336,53,0,0
49,36,anthropic,openai,29,34,5749,151,25115,2218,2279,46,6180,131,27973,2937,244,30,0
49,43,anthropic,openai,30,65,8613,191,44296,2837,40,38,8849,193,40391,3313,2365,0,0
49,27,anthropic,openai,31,23,4491,88,21039,436,1,13,1706,95,9185,1282,1945,4,0
49,50,anthropic,openai,32,72,10907,264,49386,3584,486,48,11825,295,61964,3928,860,0,0
49,33,anthropic,openai,33,32,4954,124,24329,1027,118,19,3210,131,15567,1340,1752,0,0
50,48,anthropic,openai,34,114,11481,174,46017,6112,1846,17,11068,282,55732,2395,864,0,0
49,37,anthropic,openai,35,33,5230,165,22284,762,101,34,4561,158,24059,2670,585,8,0
50,58,openai,anthropic,21,153,19068,279,81611,10204,894,72,16344,392,77561,3156,217
50,49,openai,anthropic,22,103,11909,227,53545,4475,4129,48,9728,287,47963,3190,30
50,39,openai,anthropic,23,52,6460,166,24611,1058,2877,40,5190,167,27238,4329,483
50,30,openai,anthropic,24,44,3812,86,15843,1979,1354,10,3404,120,16958,557,0
50,45,openai,anthropic,25,96,9676,161,39875,6198,1167,45,10936,242,54292,1841,0
50,27,openai,anthropic,26,30,2809,55,10651,2620,669,26,2413,85,9760,1685,3
49,26,openai,anthropic,27,21,3022,83,13065,538,0,18,1654,71,7772,1715,1525
50,44,openai,anthropic,28,76,9402,179,41894,3738,261,72,7682,197,33228,2904,1535
50,57,openai,anthropic,28,135,15418,295,63463,9378,2079,58,16604,391,77897,3616,64
50,45,openai,anthropic,29,60,10259,185,48056,6230,1223,40,9467,244,45853,3350,0
50,32,openai,anthropic,30,29,3977,116,17628,1549,2839,26,2990,114,15292,1561,955
50,38,openai,anthropic,31,52,5670,128,28296,5751,467,37,5385,171,25690,1183,63
49,45,openai,anthropic,32,64,8781,210,43700,2955,0,53,7730,234,36641,1995,3603
49,58,openai,anthropic,33,98,16431,344,78118,7436,0,33,16523,424,86853,3666,926
50,52,openai,anthropic,34,49,11360,278,60485,5090,888,65,12975,300,64812,2171,851
50,45,openai,anthropic,35,57,8644,225,43932,2243,3381,50,10086,233,50494,1780,465,0,24
50,14,openai,anthropic,36,15,582,13,1842,798,176,6,598,29,2224,414,6,0,0
50,32,openai,anthropic,37,27,4608,123,23406,686,2170,21,3722,124,18976,1074,0,0,0
50,37,openai,anthropic,38,36,6867,118,32271,3619,1371,41,4778,158,23340,2140,942,0,36
50,32,openai,anthropic,39,24,4391,115,20939,1184,642,24,3033,127,14917,886,218,0,26
50,40,openai,anthropic,40,40,6481,131,31920,4774,400,23,5459,192,24898,2164,2,0,6
50,50,openai,anthropic,41,55,11574,270,53766,3620,1466,46,9293,289,48814,3740,392,0,0
50,21,openai,anthropic,42,11,1711,51,7707,601,375,21,1279,45,5490,995,78,0,20
50,31,openai,anthropic,43,21,4653,114,24937,1261,1738,12,3448,128,16752,320,608,0,12
49,41,openai,anthropic,44,64,7599,163,37747,3709,21,53,8811,188,36478,1948,5579,0,18
50,19,openai,anthropic,45,15,1059,24,3708,1475,208,6,1421,53,6214,333,0,0,0
50,40,openai,anthropic,46,72,9127,143,46218,4386,1556,41,6092,189,28506,1801,1,0,26
50,56,openai,anthropic,47,52,12407,357,65362,4347,2709,66,15492,354,75430,2859,2259,0,16
50,26,openai,anthropic,48,24,3051,50,14599,1929,112,12,1911,92,8828,674,0,0,16
50,55,openai,anthropic,49,95,14517,285,73652,8769,2218,53,14858,364,73318,2283,918,0,0
49,45,openai,anthropic,50,47,9002,228,45598,3375,0,43,9628,239,45608,2557,1264,0,12
50,39,openai,anthropic,51,49,6099,148,26694,3296,850,25,5367,191,26839,2581,1,0,0
50,40,openai,anthropic,52,50,6692,138,32116,5488,540,35,6298,195,31546,970,42,0,24
50,52,openai,anthropic,53,82,11477,268,54535,9283,919,42,15003,335,76976,1735,0,0,12
50,48,openai,anthropic,54,61,9753,233,44834,5472,3216,51,9794,266,49783,1833,3,0,22
50,22,openai,anthropic,55,5,1533,72,8930,0,2715,6,1590,70,8647,40,6,0,0
50,29,openai,anthropic,56,28,3099,93,16992,2222,3766,19,4830,105,25369,325,2,0,18
49,41,openai,anthropic,57,43,7294,163,36329,3616,21,57,6497,173,32684,2234,3755,0,40
50,33,openai,anthropic,58,41,3796,88,15529,3799,590,38,3522,118,16625,1783,0,0,18
50,50,openai,anthropic,59,68,12469,265,64260,5670,1357,39,11255,302,55059,2485,0,0,8
49,23,openai,anthropic,60,6,2228,77,10403,265,0,19,1250,62,5972,1354,1655,0,0
49,43,anthropic,openai,36,60,12622,186,65379,3467,47,40,8699,211,39417,2605,1406,0,0
50,41,openai,anthropic,61,43,7535,192,37371,2195,1943,46,7374,195,33761,1637,197,0,44
50,41,anthropic,openai,37,76,7830,158,37708,1859,4327,40,6766,199,31260,1378,1136,0,0
49,36,openai,anthropic,62,31,4775,128,22204,2781,75,31,4286,153,20530,2246,1826,0,0
49,26,anthropic,openai,38,19,4019,81,19383,459,0,10,1374,84,7306,1442,1477,4,0
50,36,openai,anthropic,63,46,4556,91,20210,4192,1674,53,4661,136,23786,1591,0,0,26
49,35,anthropic,openai,39,30,4740,146,23578,862,367,9,4613,159,23847,1115,1817,0,0
49,43,anthropic,openai,40,49,9482,199,45498,2834,895,54,7725,197,33687,3676,1216,18,0
50,56,openai,anthropic,64,88,16438,285,83723,11247,2439,50,18937,379,97014,2386,3,0,0
50,32,openai,anthropic,65,43,3362,63,15647,4014,1440,8,4221,139,21804,922,0,0,0
50,50,anthropic,openai,41,90,12904,234,50702,5852,626,44,12846,289,60213,2996,40,0,0
49,31,anthropic,openai,42,26,3548,116,14048,519,1,12,2742,126,14226,1117,2381,10,0
49,42,openai,anthropic,66,57,8930,190,43961,2250,138,28,6313,212,29970,2280,3592,0,10
50,28,openai,anthropic,67,20,2778,85,12662,1986,1351,11,2497,108,12041,1184,0,0,6
49,49,anthropic,openai,43,44,12417,290,62296,1670,3,70,10913,226,47061,6317,899,12,0
50,54,openai,anthropic,68,63,13697,254,66008,7513,906,64,13535,339,70888,3592,0,0,8
50,48,anthropic,openai,44,86,11736,223,52490,5367,1352,63,11110,254,46977,3813,7,16,0
50,31,openai,anthropic,69,21,3696,105,18658,2727,356,23,4484,120,18658,709,701,0,8
50,40,anthropic,openai,45,80,9573,150,39426,2956,2032,48,5703,181,23540,3255,3010,0,0
50,33,openai,anthropic,70,39,4293,103,21299,2591,1564,16,4727,141,23570,797,36,0,8
50,42,anthropic,openai,46,75,8645,163,33769,4976,1995,36,9330,207,44133,2404,132,6,0
50,35,openai,anthropic,71,44,4464,129,19385,1938,1962,21,3776,138,18923,2306,2793,0,16
49,32,anthropic,openai,47,45,3757,106,19417,1354,2719,10,2962,134,13590,758,2296,0,0
50,38,anthropic,openai,48,56,6665,144,31572,2059,5083,28,5700,161,24778,2361,870,12,0
50,36,openai,anthropic,72,31,5951,147,30586,2262,1876,30,4216,157,21917,1383,2,0,18
50,43,anthropic,openai,49,60,10346,194,46253,2539,1947,22,8240,230,42948,1855,434,0,0
50,55,openai,anthropic,73,84,17861,326,88532,4042,3671,60,12096,334,59060,4684,2236,0,16
49,49,anthropic,openai,50,56,13309,278,68529,1078,30,20,11248,317,63477,1735,837,0,0
50,51,openai,anthropic,74,50,12062,277,61256,3532,1959,47,11650,307,59501,2585,230,0,6
50,43,anthropic,openai,51,67,9793,192,48241,3183,10139,30,8384,231,38656,2582,72,0,0
50,37,openai,anthropic,75,77,5895,105,22791,3987,1057,32,5396,164,25032,1924,0,0,18
49,37,anthropic,openai,52,18,7540,181,42302,324,0,21,4883,159,23864,1182,1456,8,0
50,36,openai,anthropic,76,46,4799,121,20000,3692,2893,26,6658,163,35078,464,98,0,0
49,33,anthropic,openai,53,44,6368,103,32055,3012,1,19,3383,110,13667,2883,982,0,0
49,27,openai,anthropic,77,21,3308,90,15310,338,0,11,1750,99,9360,725,1729,0,0
49,35,anthropic,openai,54,27,5366,150,28834,630,1,15,4519,153,24468,832,2347,14,0
50,32,openai,anthropic,78,23,4700,105,25208,2296,1082,29,3369,123,15332,711,0,0,22
50,32,anthropic,openai,55,49,3904,97,15300,1790,1864,30,3872,116,16305,2061,564,0,0
49,40,anthropic,openai,56,37,6013,182,30976,2043,11,22,5091,200,24116,1842,2739,12,0
50,54,openai,anthropic,79,91,12896,280,59900,5772,3238,44,14449,355,74737,2635,3384,0,0
49,32,anthropic,openai,57,36,4855,103,22127,2102,1,17,4179,101,19116,2223,647,0,0
50,42,openai,anthropic,80,50,8449,182,37839,2812,1323,38,7585,214,38421,893,12,0,8
49,34,anthropic,openai,58,37,5891,127,24814,1693,0,33,4036,131,15785,2562,1253,0,0
50,34,openai,anthropic,81,51,5398,102,21089,3477,1735,34,4951,134,22564,2129,66,0,8
49,35,anthropic,openai,59,44,6674,130,33787,1483,35,36,3949,143,19573,1135,4938,0,0
50,28,openai,anthropic,82,40,3417,63,15810,3102,199,13,2995,102,13864,740,3,0,8
50,33,anthropic,openai,60,24,5362,132,25595,961,2208,19,3895,133,18815,1173,90,8,0
50,38,openai,anthropic,83,42,6725,133,29354,3121,989,54,4475,154,21653,2139,41,0,14
50,34,anthropic,openai,61,33,4658,131,20010,2231,1420,22,4944,139,22652,1564,744,4,0
49,31,anthropic,openai,62,31,4328,97,21466,2345,436,19,3973,121,18440,787,2557,0,0
50,56,openai,anthropic,84,83,15676,296,81889,6362,2055,57,14363,366,67857,4182,312,0,18
49,56,anthropic,openai,63,138,16924,261,73843,7993,774,58,16156,355,72695,5588,1373,0,0
49,24,openai,anthropic,85,8,2310,82,11361,406,0,14,1426,76,6840,1070,1294,0,0
49,25,openai,anthropic,86,7,2551,89,12079,259,0,30,1452,63,6998,1620,1576,0,7
49,40,anthropic,openai,64,67,8071,152,38892,3996,3,46,6769,172,28255,2709,488,0,0
49,38,openai,anthropic,87,28,6430,176,35116,1659,0,25,5262,183,28616,895,2646,0,8
49,34,anthropic,openai,65,43,4574,125,24950,1351,29,14,5567,136,28336,1256,594,0,0
50,45,anthropic,openai,66,51,10186,226,52072,3583,3955,40,10771,232,54631,2259,12,0,0
49,56,openai,anthropic,88,66,16765,335,72434,3170,738,74,14755,360,79122,5713,1987,0,34
49,38,anthropic,openai,67,61,6253,138,29167,2134,965,15,5496,188,27730,620,3530,0,0
50,60,openai,anthropic,89,125,18899,330,89537,10573,1018,69,21103,407,108479,4892,3270,0,0
50,47,anthropic,openai,68,68,12121,240,64400,3223,1782,41,10674,237,51577,2753,1303,0,0
49,35,anthropic,openai,69,43,7556,135,37734,1558,0,31,3983,148,18437,1576,4843,24,0
50,44,openai,anthropic,90,60,8164,181,37480,6328,1840,47,9445,220,44475,3031,35,0,12
49,35,anthropic,openai,70,29,6472,143,34060,723,17,21,3148,147,17062,2163,1135,16,0
50,46,openai,anthropic,91,58,8514,211,41519,4708,968,48,7993,236,39059,2191,36,0,28
49,56,anthropic,openai,71,103,15178,312,76578,6868,1,71,18601,319,80990,6725,2170,0,0
50,50,openai,anthropic,92,77,12934,251,64751,4421,590,45,11094,302,51646,2548,182,0,8
50,28,openai,anthropic,93,27,2946,79,14773,1892,856,19,3346,100,17299,579,30,0,18
50,62,anthropic,openai,72,121,20298,403,97366,5070,1973,72,20231,426,94865,6227,2397,12,0
49,35,anthropic,openai,73,48,7832,129,41394,2363,0,13,4232,155,20484,1950,3730,0,0
50,55,openai,anthropic,94,84,15894,272,78260,7161,280,78,13726,338,66481,2946,0,0,28
49,43,anthropic,openai,74,51,8802,210,43265,2637,109,45,8365,205,37103,2860,1008,0,0
50,45,openai,anthropic,95,71,9647,192,42129,3807,1244,52,8097,230,37611,3293,6,0,22
50,48,anthropic,openai,75,66,11304,242,52472,4011,1586,47,11662,267,59082,3144,268,0,0
50,29,openai,anthropic,96,19,3244,100,14467,1013,1920,16,2727,103,15073,1851,64,0,8
49,34,anthropic,openai,76,44,6397,125,33479,1413,0,11,3304,145,16210,1276,2510,0,0
49,30,anthropic,openai,77,37,5656,97,27963,1146,0,14,2453,121,12397,1571,2091,0,0
50,58,openai,anthropic,97,76,15529,295,78854,8127,1806,67,21223,393,116274,3215,0,0,38
49,33,anthropic,openai,78,22,4090,138,21068,576,21,22,2766,123,13935,2342,1480,0,0
50,39,openai,anthropic,98,39,6346,162,32086,2603,306,38,4895,173,24837,1689,0,0,32
49,40,anthropic,openai,79,42,9111,186,44678,1040,1,34,7849,174,38130,2309,1405,20,0
50,30,openai,anthropic,99,31,2840,92,12699,1930,1386,17,3425,114,17835,1351,56,0,0
49,39,anthropic,openai,80,35,7283,182,37824,1009,25,33,5035,173,20867,2722,525,0,0
49,26,openai,anthropic,100,7,2935,94,14132,258,0,17,1520,82,8121,1250,2244,0,8
49,45,anthropic,openai,81,35,11441,244,62317,1315,3,46,10288,223,47045,2423,2245,0,0
50,52,openai,anthropic,101,67,15021,249,78589,6934,295,62,10897,308,53024,3090,0,0,32
50,43,anthropic,openai,82,84,8682,172,40971,2387,4094,33,8236,228,41472,698,6394,0,0
49,29,anthropic,openai,83,50,3266,73,13342,1895,28,12,3400,106,13878,1070,652,0,0
50,36,openai,anthropic,102,26,4535,105,21695,3891,57,45,4375,137,22372,1152,42,0,0
50,34,anthropic,openai,84,49,4840,116,20829,2120,1674,38,5123,104,21769,3674,45,18,0
50,38,openai,anthropic,103,42,6970,137,33895,2398,990,43,4690,157,22175,2106,457,0,16
49,22,anthropic,openai,85,30,2044,39,8646,1514,1,12,1350,62,5542,752,834,0,0
50,30,openai,anthropic,104,38,3878,70,19501,4282,2,32,3792,99,17876,987,534,0,32
50,42,anthropic,openai,86,66,7298,178,29659,4137,2169,43,8577,198,37843,3970,309,0,0
50,45,openai,anthropic,105,85,8751,188,39808,4246,3663,32,8312,249,40039,2287,1,0,8
49,60,anthropic,openai,87,108,21040,377,98666,6626,3108,85,25565,368,120851,5562,1520,24,0
49,38,anthropic,openai,88,48,6748,140,33483,3461,195,11,5604,191,28356,907,1131,0,0
49,48,openai,anthropic,106,51,12966,271,65199,1004,30,27,9781,297,52444,974,3902,0,20
50,18,openai,anthropic,107,17,858,27,3484,1223,615,13,1238,41,5555,216,0,0,20
49,48,anthropic,openai,89,90,15026,208,74875,5654,9,56,11012,220,47171,4197,1008,0,0
50,39,openai,anthropic,108,55,5243,126,25641,5250,1346,15,6856,202,34787,935,0,0,0
49,45,anthropic,openai,90,65,10871,210,51856,3316,1,44,9331,226,40203,3390,197,0,0
49,40,openai,anthropic,109,36,7460,176,38381,2197,135,53,6707,162,30026,2739,2148,0,0
50,27,openai,anthropic,110,27,2419,70,11245,1539,2262,8,3698,99,19395,899,55,0,0
49,50,anthropic,openai,91,66,12894,279,61525,2571,0,52,10846,281,54426,3786,566,14,0
49,40,anthropic,openai,92,50,8538,173,36175,1245,27,49,5969,146,28755,3942,737,0,0
50,59,openai,anthropic,111,103,20825,345,106852,8501,883,79,15993,396,80727,3379,24,0,24
49,45,anthropic,openai,93,75,11685,209,49716,1885,887,50,9424,201,44847,4287,794,0,0
50,27,openai,anthropic,112,27,2879,75,12954,1332,958,20,2370,91,12147,934,240,0,12
50,33,anthropic,openai,94,41,4434,101,20545,3251,727,14,4741,141,22702,1274,530,0,0
50,21,anthropic,openai,95,30,1712,38,5456,806,1019,10,1173,61,5270,602,502,0,0
50,57,openai,anthropic,113,70,14473,373,76015,4059,3669,61,19089,366,98506,3409,2234,0,0
49,38,anthropic,openai,96,74,7721,126,33840,2507,1,39,4434,132,20139,3993,343,0,0
50,35,anthropic,openai,97,56,6979,115,32863,2520,1590,24,4410,153,19648,1714,511,0,0
50,53,openai,anthropic,114,62,13117,291,63929,5348,2923,68,11167,319,57143,3536,0,0,52
49,37,anthropic,openai,98,46,7756,149,39383,1749,0,23,3914,169,19626,2397,1338,0,0
50,30,openai,anthropic,115,27,3754,92,18517,1384,701,16,2422,117,12277,489,3,0,16
50,40,anthropic,openai,99,50,7812,178,31584,1385,1660,45,7316,153,31056,4130,42,16,0
50,42,openai,anthropic,116,55,8285,182,40276,2958,1621,49,7156,196,31324,1791,2197,0,8
49,42,anthropic,openai,100,36,8477,206,44352,1644,0,29,6820,217,31613,2019,1287,12,0
50,45,openai,anthropic,117,49,7619,221,36479,4859,926,57,8201,229,41123,2534,78,0,28
49,45,anthropic,openai,101,76,9667,203,43633,4992,36,49,11577,223,45701,2286,2623,0,0
50,36,openai,anthropic,118,32,5554,143,28035,2391,870,32,4836,157,21489,1497,350,0,24
50,43,anthropic,openai,102,95,10109,151,44091,5957,413,32,8365,220,37331,3634,3,0,0
50,36,openai,anthropic,119,32,4594,152,24136,1401,3653,17,5100,172,27561,836,0,0,6
50,39,anthropic,openai,103,50,8174,165,37752,1796,1523,33,5489,177,27149,2433,56,12,0
50,39,openai,anthropic,120,63,7545,132,33270,3207,631,58,5784,160,28214,4141,215,0,16
49,49,anthropic,openai,104,80,13378,249,58864,4902,187,49,10436,283,51325,3352,3783,0,0
50,37,openai,anthropic,121,46,5724,112,25451,3526,124,34,4726,164,23674,1953,90,0,12
49,40,anthropic,openai,105,64,8995,165,41535,1746,1406,48,7013,182,25850,2570,1483,0,0
49,30,anthropic,openai,106,48,4485,87,16544,1720,0,13,2518,122,12473,369,4219,8,0
49,45,openai,anthropic,122,76,9630,194,45792,5343,1652,40,7526,244,36473,1926,6227,0,8
50,38,anthropic,openai,107,76,7462,125,30527,7466,414,23,6832,183,27701,2421,3,0,0
50,36,anthropic,openai,108,50,4879,123,21074,1793,6309,5,5190,180,27622,686,2,0,0
50,58,openai,anthropic,123,89,20648,309,96911,8142,3658,54,15134,402,74857,3720,0,0,0
50,39,openai,anthropic,124,49,6240,147,28677,3108,2949,27,6215,188,32068,2187,155,0,0
49,47,anthropic,openai,109,47,10232,233,51571,1948,0,32,10206,277,49962,1763,1836,8,0
50,42,openai,anthropic,125,46,6690,194,32176,4820,347,103,7314,149,34010,2871,84,0,10
49,42,anthropic,openai,110,53,8478,197,35707,2414,0,42,6649,188,31110,3686,1901,0,0
50,45,anthropic,openai,111,69,10071,210,49252,2865,2271,56,9018,218,40336,3317,1398,18,0
50,60,openai,anthropic,126,90,23155,309,118461,7896,1236,60,21808,432,119169,3567,17,0,0
49,41,anthropic,openai,112,67,7695,164,34607,2692,217,37,8555,175,42679,2517,1107,0,0
50,36,openai,anthropic,127,32,5415,138,28840,1961,1829,17,4530,172,23098,878,0,0,8
49,31,anthropic,openai,113,27,3154,114,17427,328,376,8,2628,127,14732,494,3424,0,0
49,27,anthropic,openai,114,26,4544,76,22834,1719,1,16,2745,83,10303,1612,593,0,0
49,23,anthropic,openai,115,23,2418,55,10755,1065,0,11,1924,70,8088,1106,811,0,0
50,56,openai,anthropic,128,124,16086,287,81126,8680,1201,31,12912,399,65821,2269,10,0,6
49,25,openai,anthropic,129,22,2635,74,12098,600,0,8,1537,89,7787,475,1262,0,0
50,32,anthropic,openai,116,48,3423,88,13777,2305,2189,9,3860,142,18103,594,371,0,0
50,30,openai,anthropic,130,32,2962,87,13478,1861,1623,16,2266,117,11586,719,30,0,10
49,42,anthropic,openai,117,57,7849,193,35713,2427,2,40,8826,184,44201,5153,1223,0,0
50,37,openai,anthropic,131,36,5555,143,28728,3659,125,38,4892,158,23555,1250,219,0,22
49,42,anthropic,openai,118,65,8165,167,36702,2931,6,17,6795,221,32966,1675,537,0,0
50,34,openai,anthropic,132,32,5227,96,25409,3973,442,30,4042,140,18600,1073,156,0,32
50,50,anthropic,openai,119,75,13679,262,66711,3364,4812,52,10030,277,44999,5498,485,18,0
49,34,anthropic,openai,120,39,6598,125,32288,1942,1,30,4560,139,17677,1653,576,0,0
50,39,openai,anthropic,133,44,7479,146,39136,2967,1756,47,5878,172,28350,1355,72,0,20
49,25,openai,anthropic,134,13,2688,84,12613,386,0,14,1537,76,7681,1438,1326,0,0
49,40,anthropic,openai,121,45,6382,179,30789,1354,1,62,5681,160,22169,3586,1526,0,0
49,39,anthropic,openai,122,69,7203,136,32148,4525,216,25,6575,186,31877,1397,1697,6,0
50,47,openai,anthropic,135,64,9856,236,44801,3633,595,52,8855,259,42904,1526,20,0,42
49,21,anthropic,openai,123,19,1472,51,6711,724,127,12,1267,56,5667,387,924,0,0
49,26,anthropic,openai,124,29,3353,75,16738,681,0,10,1988,91,9656,492,1035,8,0
50,31,anthropic,openai,125,49,3622,68,14444,2541,143,10,3125,121,15022,1759,0,0,0
49,21,anthropic,openai,126,17,1732,54,9079,540,1,1,1376,47,7422,1009,557,0,0
49,17,anthropic,openai,127,5,876,44,4175,30,1,3,717,44,3790,190,658,0,0
50,39,anthropic,openai,128,82,6598,124,29062,4183,1399,21,5837,176,25567,2159,511,0,0
49,25,anthropic,openai,129,30,2522,63,11659,1543,28,8,1509,74,7038,1237,1164,0,0
49,38,anthropic,openai,130,53,5720,154,25092,1748,3,28,6377,164,32550,3046,805,6,0
49,45,anthropic,openai,131,43,10447,200,56544,3217,0,22,6604,207,35357,3651,4404,0,0
49,23,anthropic,openai,132,25,1684,57,7837,718,21,4,1135,66,5255,747,1642,8,0
49,34,anthropic,openai,133,35,4010,133,17798,1002,1,18,4154,126,20313,2059,1241,12,0
49,25,anthropic,openai,134,18,3281,76,16373,621,0,6,1252,75,6688,1507,1218,0,0
49,23,anthropic,openai,135,23,2112,59,10228,1007,15,5,1132,72,5464,698,1251,0,0
